,DS_MOD_CONCORRENCIA
LI_PPI ,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
V,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)"
V,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
V,Candidatos/as que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais das mesorregiões descritas pelo IBGE: I. Zona da Mata pernambucana e II. Agreste pernambucano.
V,Candidatos/as que tiverem cursado e concluído no mínimo 2/3 do ensino médio (dois anos completos dos três anos previstos) nas escolas regulares e presenciais das mesorregiões da Zona da Mata Pernambucana e do Agreste Pernambucano
V,Reserva de vagas para candidatos com deficiência (PCD)
V,Reserva de vagas para candidatos de Agricultura Familiar (AF)
V,Candidatos/as que tiverem cursado e concluído no mínimo 2/3 do ensino médio (dois anos completos dos três anos previstos) nas escolas regulares e presenciais no Estado de Pernambuco.
V,Candidatos/as que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais no Estado de Pernambuco
V,Res. 044/2015-CONSEPE - estabelece bonificações para os candidatos aos cursos de graduação da UFAM que tenham cursado integralmente o ensino médio em instituições de ensino situadas no estado do Amazonas
V,"com deficiência, oriundos de qualquer percurso escolar."
V,"Candidato (s) com deficiência, ou filhos de policiais civis, militares, bombeiros militares e inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica"
V,"Candidato (s) que tenham cursado, na rede pública, os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica"
V,Candidato (s) negros ou indígenas com comprovação de carência socioeconômica
V,"que comprovem ter cursado e concluído todo o Ensino Médio, na forma regular ou técnico-profissionalizante, em escola (s) pública (s) ou privada (s) localizada (s) em município (s) baiano (s) distante (s) até 150 quilômetros de qualquer campus da Universidade Federal do Oeste da Bahia - UFOB."
V,"Candidatos A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Pessoas Carentes Socioeconômicos e filhos de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço"
V,Candidatos A2 - Carente Socioeconômico e Negros/Indígenas ou alunos oriundos de Comunidades Quilombolas
V,Candidatos A3 - Carente Socioeconômico e da Rede Pública
V,"Candidato (s) Docentes de Escola Pública - Candidatos que comprovarem atuação como docente, em algum momento (passado ou presente), na Rede Pública de Ensino."
V,que cursaram integralmente o ensino médio em instituições de ensino situadas no estado de Mato Grosso
V,Candidatos Negros ou Indígenas com comprovação de carência socioeconômica
V,Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica
V,"Candidatos com deficiência ou filhos de policiais militares, bombeiros militares, inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica"
V,Candidato (s) com deficiência.
V,Pessoa Com Deficiência
V,"Candidatos que tenham cursado pelo menos um ano do ensino médio nos municípios que integram as regiões de influência das cidades nas quais estão implantados os campi da Unifesspa: Marabá, Rondon do Pará, Xinguara, São Felix do Xingu e Santana do Araguaia; e dos municípios que integram as regiões de influência das cidades de Imperatriz-MA e Araguaina-TO."
V,PCD - Vagas para Portadores de Deficiência.
LI_EP  ,Cota Social - Candidatos que frequentaram integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
LI_PP  ,Cota Sociorracial: candidatos(as) autodeclarados(as) negros(as) e que tenham frequentado integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
B,Bônus Regional para os candidatos que tenham cursado a totalidade dos anos do Ensino Médio em escolas (pública ou privada) das Regiões abrangidas conforme Resolução 10/2022 CONUNI/UNIVASF
V,"V3985: Candidatos com deficiência que, independentemente da renda, tenham cursado integralmente o Ensino médio em Escolas Públicas, no caso dos Cursos de Graduação."
V,Candidatos Candidato (s) com deficiência
V,"Candidatos egressos de escolas públicas da rede federal, estadual ou municipal, que cursaram os anos finais do Ensino Fundamental (6º ao 9º anos) e todo o Ensino Médio (1º ao 3º anos), com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, devendo essa condição ser comprovada no ato da matrícula."
V,"Candidatos egressos de escolas públicas da rede federal, estadual ou municipal, que cursaram os anos finais do Ensino Fundamental (6º ao 9º anos) e todo o Ensino Médio (1º ao 3º anos), com qualquer renda renda per capita bruta, devendo essa condição ser comprovada no ato da matrícula."
B,Bônus Regional de 10% para os candidatos que estudaram integralmente todo o ensino médio em escolas do Estado de Alagoas
V,"Candidatos terão direito ao argumento de inclusão regional, para o curso de Direito oferecido no Campus Benfica, para o curso de Medicina oferecido no Campus Santo Amaro e para o curso de Odontologia oferecido no Campus Santo Amaro (Antigo curso do Campus Camaragibe), os candidatos que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais, bem como residirem nas mesorregiões Metropolitana do Recife e da Mata Pernambucana identificadas de acordo com a definição do Instituto Brasileiro de Geografia e Estatística - IBGE."
V,"Candidatos terão direito ao argumento de inclusão regional, para o curso de Medicina oferecido no Campus Garanhuns, desde que tenham cursado e concluído todo o ensino médio em escolas regulares e presenciais, bem como residirem na mesorregião do Agreste Pernambuco, identificada de acordo com a definição do Instituto Brasileiro de Geografia e Estatística - IBGE."
V,"Candidatos terão direito ao argumento de inclusão regional, para os cursos de Direito e Odontologia oferecidos no Campus Arcoverde, assim como para o curso de Medicina oferecido no Campus Serra Talhada, desde que tenham cursado e concluído todo o ensino médio em escolas regulares e presenciais, bem como residirem nas mesorregiões do Sertão Pernambuco ou do São Francisco Pernambucano, identificadas de acordo com a definição do Instituto Brasileiro de Geografia e Estatística - IBGE."
V,"autodeclarados negros que tenham cursado todo o 2º ciclo do Ensino Fundamental (5ª a 8ª séries) e todo o Ensino Médio, única e exclusivamente, na rede pública de ensino no Brasil."
V,que frequentaram integralmente as 4 últimas séries do Ensino Fundamental e todas as séries do Ensino Médio em instituições públicas brasileiras de ensino.
V,"autodeclarados negros de forma irrestrita, independente do percurso de formação."
V,"autodeclarados Pessoa com Deficiência, cuja deficiência enquadre-se no prescrito pela Resolução nº 044/2021, observada a Lei Estadual nº 20.443/2020 (o candidato que se autodeclarar com deficiência não poderá ter curso superior concluído)."
LI_EP  ,que tenham cursado integralmente o Ensino Médio em escolas públicas;
LI_PP  ,"pretos e pardos, que tenham cursado integralmente o Ensino Médio em escolas públicas;"
V,"com deficiência que concluíram o Ensino Médio, independente do percurso de formação;"
LI_EP  ,Candidato (s) que tenham cursado integralmente o Ensino Médio em instituições públicas e gratuitas de ensino
V,"Candidato (s) negros, entendidos como candidatos que possuem fenótipo que os caracterizem, na sociedade, como pertencentes ao grupo racial negro"
V,Candidato (s) com deficiência
V,"Candidatos residentes na região de abrangência do IFTM, até o raio de 100 km dos campi ou limítrofe do município"
LI_EP  ,que tenham cursado integralmente o ensino médio em qualquer uma das escolas situadas nas microrregiões do Agreste ou do Sertão de Pernambuco.
V,- 5% das vagas destinadas a candidatos com deficiência com execeção das vagas do SISU.
LI_EP  ,"COTAS - Escolas Públicas -  Lei Estadual no 6.542, de 7 de dezembro de 2004"
B,"5% - Bonificação Regional - Base: RESOLUÇÃO CONSU No. 26/2017, DE 8 DE SETEMBRO DE 2017 - Acréscimo de 5% (cinco por cento) na nota final para alunos que estudaram os últimos quatro anos do ensino fundamental (do 6o ao 9o ano) e os três anos do ensino médio (do 1o ao 3o ano) em escolas do Estado de Alagoas."
B,"4% - Bonificação Regional - Base: RESOLUÇÃO CONSU No. 26/2017, DE 8 DE SETEMBRO DE 2017 -  Acréscimo de até 4% (quatro por cento) na nota final para alunos que estudaram os três anos do ensino médio (do 1o ao 3o ano) em escolas do Estado de Alagoas."
V,"professores em exercício do magistério da Pré-Escola, do Ensino Fundamental e Médio da rede pública de ensino."
V,com Deficiência
V,"Candidatos com Deficiência, Transtorno do Espectro Autista, Altas Habilidades/Superdotação e/ou estudantes que sejam público alvo da educação especial."
V,Candidato (s) surdos
V,"A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Pessoas Carentes Socioeconômicos e filhos de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço"
V,A2 - Carente Socioeconômico e Negros/Indígenas ou alunos oriundos de Comunidades Quilombolas
V,A3 - Carente Socioeconômico e da Rede Pública
V,"Candidatos estudantes oriundos de Escolas Públicas integrantes da estrutura da Secretaria de Estado de Educação, unidade integrante do Governo do Estado ou Municípios, vinculadas pedagógica e administrativamente às respectivas Diretorias Regionais de Ensino"
V,EGRESSOS DE ESCOLAS PÚBLICAS (EP) - ENSINO FUNDAMENTAL E MÉDIO
LI_PPI ,"EGRESSOS DE ESCOLAS PÚBLICAS QUE SE AUTODECLARAM PRETOS, PARDOS E ÍNDIOS (EP PPI) - ENSINO FUNDAMENTAL E MÉDIO"
V,"01 vaga adicional em cada curso para pessoas em situação de refúgio, asilo político, apátrida, acolhida humanitária ou sob outras políticas humanitárias no Brasil."
LI_EP  ,Candidato (s) que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino
V,SURDOS
V,"B5825: Candidatos BE - Candidatos que atendam aos critérios estabelecidos pela Resolução nº 43/2021 CONSEPE /UFPB e suas alterações para bonificação de inclusão estadual: para os candidatos que pleiteiam vaga em cursos de graduação da UFPB, via SiSU, que residem e comprovem residência no Estado da Paraíba e tenham estudado integralmente o Ensino Médio em escolas regulares, públicas e/ou privadas, ou tenham obtido o certificado de Ensino Médio pela Educação de Jovens e Adultos (EJA), ou pelo Exame Nacional para Certificação de Competências para Jovens e Adultos (ENCCEJA) no Estado da Paraíba."
LI_PCD ,que cursaram integralmente o Ensino Médio em Escola Pública/ESTUDANTES COM DEFICIÊNCIA
V,que cursaram integralmente o Ensino Médio em Escola Pública/ESTUDANTES NEGROS
LI_EP  ,que cursaram integralmente o Ensino Médio em Escola Pública/DEMAIS ESTUDANTES DE ESCOLA PÚBLICA
LI_I   ,que cursaram integralmente o Ensino Médio em Escola Pública/ESTUDANTES INDÍGENAS
V,alunos(as) egressos(as) das Escolas Família Agrícola - EFA
V,"autodeclarados negros que tenham cursado todo o 2º ciclo do ensino fundamental (5ª a 8ª séries) e todo o ensino médio, única e exclusivamente, em escola pública e que tenham renda bruta familiar mensal igual ou inferior a 04 salários mínimos."
V,"indígenas que tenham cursado todo o 2º ciclo do ensino fundamental (5ª a 8ª séries) e todo o ensino médio, única e exclusivamente, em escola pública, que tenham renda bruta familiar mensal igual ou inferior a 04 salários mínimos e que tenham vinculação étnica comprovada por organização indígena devidamente reconhecida."
V,"ciganos que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
V,"transexuais, travestis e transgêneros que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
V,"quilombolas que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
V,"com deficiência, transtorno do espectro autista e altas habilidades que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
V,L15 - Candidatos com deficiência (ampla concorrência - Resolução nº 05/2017-CONSUP/IFRN
V,"que pleiteiem vaga em cursos de graduação da UFCG, por meio do SiSU ou Vestibular Especial,  e que  satisfaçam aos critérios estabelecidos pela Resolução nº 09/2022  do Colegiado Pleno da UFCG relativa à bonificação de inclusão estadual."
LI_PCD ,com deficiência que cursaram todo o ensino médio em escola pública.
V,Candidatos com necessidades educacionais específicas
V,"que tenham cursado todo o Ensino Médio, presencial e regular, em escolas privadas ou públicas da região do Estado do Acre"
V,com deficiência auditiva especificamente no curso de Letras-Libras
V,"AF1: Pessoas negras, quilombolas e indígenas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5);"
LI_PCD ,"AF2: Pessoas com deficiência que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5);"
V,"AF3: Pessoas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5) e que não estejam concorrendo na forma das Ações Afirmativas 1 e 2."
V,com deficiências (Denominada A1).
V,autodeclarados Negros (Pretos e Pardos) (Denominada A2)
V,"candidatos concorrentes às vagas de ampla concorrência para o Curso de Medicina do Campus de Imperatriz ou Campus de Pinheiro ou Campus de São Luís (Cidade Universitária) que concluíram todo o Ensino Médio (1º, 2º e 3º ano) em escolas regulares e presenciais no Estado do Maranhão, conforme o Art. 3º, II, ou Art. 5º, II, ou 7º da Res. CONSEPE nº 2.648-2022."
B,"Critério de Inclusão Regional (Bônus de 10%), de acordo com a Resolução nº 22/2015 - CONSUNI/UFAL, de 04 de maio de 2015."
V,"Ação Afirmativa - Curso de Medicina do Campus A. C. Simões (Bônus de 3%), de acordo com a Resolução nº 91/2022 - CONSUNI/UFAL, de 01 de novembro de 2022."
V,Candidato (s) que tenham concluído o Ensino Médio no Estado do Ceará;
V,"Candidato(s) que comprovem residência em um dos municípios da Região Sertão de Sobral do Estado do Ceará (Alcântaras, Cariré, Coreaú, Forquilha, Frecheirinha, Graça, Groaíras, Massapê, Meruoca, Moraújo, Mucambo, Pacujá, Pires Ferreira, Reriutaba, Santana do Acaraú, Senador Sá, Sobral e Varjota), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"Candidato(s) que comprovem residência em um dos municípios da Região Sertão de Canindé do Estado do Ceará (Boa Viagem, Canindé, Caridade, Itatira, Madalena e Paramoti), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"Candidato(s) que comprovem residência em um dos municípios da Região Serra da Ibiapaba do Estado do Ceará (Carnaubal, Croatá, Guaraciaba do Norte, Ibiapina, Ipu, São Benedito, Tianguá, Ubajara e Viçosa do Ceará), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"- Candidatos Trans (transexuais, travestis e transgêneros) e que não tenham concluído curso de graduação."
V,Candidatos ciganos e que não tenham concluído curso de graduação.
V,Candidatos com deficiência e que não tenham concluído curso de graduação.
V,Candidatos quilombolas e que não tenham concluído curso de graduação.
V,Candidatos autodeclarados negros e que não tenham concluído curso de graduação.
V,Candidatos indígenas e que não tenham concluído curso de graduação.
LI_EP  ,"Candidatos que tenham cursado integralmente o ensino médio em escolas públicas ou cursado integralmente o ensino médio em escolas privadas com bolsa de estudo integral, e que não tenham concluído curso de graduação."
V,Candidatos que residam e tenham cursado todo o ensino médio em instituições (da rede pública ou privada) de Ensino do Estado da Paraíba (Lei nº 12.122 de 09 de Novembro de 2021)
V,"concorrentes às vagas de ampla concorrência para o Curso de Medicina - Campus Pinheiro, que concluíram todo o Ensino Médio (1º, 2º e 3º ano) em escolas regulares e presenciais do entorno de um raio de 150 km do município de Pinheiro, conforme Art. 6º da Res. CONSEPE nº 2.648-2022."
V,"concorrentes às vagas de ampla concorrência para o Curso de Medicina - Campus Imperatriz que concluíram todo o Ensino Médio (1º, 2º e 3º ano) em escolas regulares e presenciais do entorno de um raio de 150 km do município de Imperatriz, conforme Art. 4º da Res. CONSEPE nº 2.648-2022."
V,"A1 - Candidatos com deficiência ou filhos de policiais militares, bombeiros militares, inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica"
V,A2 - Candidatos negros ou indígenas com comprovação de carência socioeconômica
V,A3 - Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica
LI_EP  ,"que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino ou tenham obtido certificado de conclusão com base no resultado do Exame Nacional do Ensino Médio, ENEM, ou do Exame Nacional de Certificação de Competências de Jovens e Adultos, ENCCEJA, ou de exames de certificação de competência ou de avaliação de jovens e adultos realizados pelos sistemas públicos de ensino e não possuam curso superior concluído ou não estejam matriculados em curso superior."
V,"Pessoas com deficiência, em conformidade com a Lei Estadual nº 20.443, de 17 de dezembro de 2020, que dispõe sobre o ingresso de pessoas portadoras de deficiência nas instituições estaduais de educação superior, e não tenham concluído curso superior."
V,Candidatos Quilombolas-Resolução n° 76/2022 CONSUP/IFBA
V,Candidatos residentes na área de abrangência do IFMS.
V,"Cota Social - Pretos, Pardos ou Indígenas"
LI_EP  ,Cota Social - Egressos Escola Pública
V,Argumento de Inclusão Regional
V,Negros/as (Pretos/as ou Pardos/as) que cursaram integralmente o Ensino Médio em escolas públicas
LI_EP  ,Indígenas que cursaram integralmente o Ensino Médio em escolas públicas
V,Pessoas com deficiência e transtornos globais do desenvolvimento (PCD)
V,Residentes em Mato Grosso do Sul
V,"indígenas, condição que deve ser comprovada mediante apresentação do RANI (Registro Administrativo de Nascimento de Indígena) ou declaração emitida por entidade de representação indígena. (A2)"
V,"que tenham cursado parcialmente o ensino médio em escola pública (pelo menos um ano com aprovação) ou em escolas de direito privado sem fins lucrativos, cujo orçamento da instituição seja proveniente do poder público, em pelo menos 50%. (A1)"
V,que comprovem serem pessoas com deficiência
V,"comprovadamente surdos, de acordo com a legislação vigente. Tipo de vaga exclusiva para o Curso de Letras Libras"
V,que comprovem serem empregados rurais ou filhos de empregados rurais ou filhos/membros de famílias pronafianas ou filhos/membros de assentados da reforma agrária.
V,Candidatos com deficiência
V,Estudantes que cursaram todo o ensino médio em escolas regulares e presenciais no estado da Paraíba
V,Candidatos filhos de empregados rurais ou filhos de famílias pronafianas (famílias beneficiárias do Programa Nacional de Fortalecimento da Agricultura Familiar ¿ PRONAF) ou filhos de assentados da Reforma Agrária.
LI_EP  ,Candidato (s) Oriundos da rede pública de ensino..
V,"Candidatos com deficiência, qualquer que seja a sua procedência escolar."
V,Vagas para pessoas com deficiência - PcD P
V,"NEEP - Negros, de baixa renda que sejam egresso de escola pública:"
LI_EP  ,"IEEP - Indígena, de baixa renda, egresso de escola pública"
LI_EP  ,"EEP - Egresso da escola pública, de baixa renda"
V,PD - Pessoa com deficiência
B,Candidatos que tenham cursado integralmente o ensino médio em qualquer uma das escolas situadas nas microrregiões do Agreste ou do Sertão de Pernambuco.
V,"Candidatos que tenham cursado no Colégio Técnico Dom Agostinho Ikas - CODAI, vinculado à UFRPE conforme os itens A,B e C seguintes: (A: ensino médio cursado integralmente no CODAI), ou (B: ensino médio integrado ao técnico cursado integralmente no CODAI), ou (C:ensino técnico cursado integralmente no CODAI e ensino médio cursado integralmente em qualquer escola pública)."
V,"Candidato (s) autodeclarados negros (somatório das categorias pretos e pardos, segundo classificação étnico-racial adotada pelo IBGE) que tenham cursado o ensino fundamental 2 (do 6º ao 9º ano) e ensino medio completo ( incluindo os cursos técnicos com duração de 4 anos) ou ter realizado curso supletivo ou outra modalidade de ensino equivalente, em estabelecimento da Rede Pública de Ensino do Brasil. Vedado aos portadores de diploma de nível superior"
V,"Candidato (s) com procedência de no mínimo sete anos de estudos regulares ou que tenham realizado curso supletivo ou outra modalidade de ensino equivalente, em estabelecimento da Rede Pública de Ensino do Brasil, compreendendo parte do ensino fundamental (6º ao 9º ano) e Ensino Médio  completo (incluindo os cursos técnicos com duração de 4 anos) ou ter realizado curso supletivo ou outra modalidade de ensino equivalente."
V,"Candidato(s) que comprovem residência em um dos municípios da Região Maciço de Baturité do Estado do Ceará (Acarape, Aracoiaba, Aratuba, Barreira, Baturité, Capistrano, Guaramiranga, Itapiúna, Mulungu, Ocara, Pacoti, Palmácia e Redenção), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"Candidato(s) que comprovem residência em um dos municípios da Região Sertão dos Inhamuns do Estado do Ceará (Aiuaba, Arneiroz, Parambu, Quiterianópolis e Tauá), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"Candidato(s) que comprovem residência em um dos municípios da Região Grande Fortaleza do Estado do Ceará (Aquiraz, Cascavel, Caucaia, Chorozinho, Eusébio, Fortaleza, Guaiúba, Horizonte, Itaitinga, Maracanaú, Maranguape, Pacajus, Pacatuba, Paracuru, Paraipaba, Pindoretama, São Gonçalo do Amarante, São Luís do Curu, e Trairi), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"Candidato(s) que comprovem residência em um dos municípios da Região Vale do Jaguaribe do Estado do Ceará (Alto Santo, Ererê, Iracema, Jaguaretama, Jaguaribara, Jaguaribe, Limoeiro do Norte, Morada Nova, Palhano, Pereiro, Potiretama, Quixeré, Russas, São João do Jaguaribe e Tabuleiro do Norte), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"Candidato(s) que comprovem residência em um dos municípios da Região Sertão dos Crateús do Estado do Ceará (Ararendá, Catunda, Crateús, Hidrolândia, Independência, Ipaporanga, Ipueiras, Monsenhor Tabosa, Nova Russas, Novo Oriente, Poranga, Santa Quitéria e Tamboril), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"Candidato(s) que comprovem residência em um dos municípios da Região Litoral Norte do Estado do Ceará (Acaraú, Barroquinha, Bela Cruz, Camocim, Chaval, Cruz, Granja, Itarema, Jijoca de Jericoacoara, Marco, Martinópole, Morrinhos e Uruoca), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"Candidato(s) que comprovem residência em um dos municípios da Região Centro-Sul do Estado do Ceará (Acopiara, Baixio, Cariús, Catarina, Cedro, Icó, Iguatu, Ipaumirim, Jucás, Orós, Quixelô, Saboeiro e Umari), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
LI_PP  ,que se declararem negros que tenham cursado todo o ensino médio e pelo menos quatro anos do Ensino Fundamental em escola pública seguindo a ordem de classificação
V,que tenham cursado todo o ensino médio e pelo menos quatro anos do Ensino Fundamental em escola pública
V,membros de comunidade quilombola
V,membros de grupos indígenas
V,Candidatos membros de Comunidade Cigana
V,"Candidatos Transsexuais, Travestis ou Transgêneros"
V,"Candidato(s) que comprovem residência em um dos municípios da Região Cariri do Estado do Ceará (Abaiara, Altaneira, Antonina do Norte, Araripe, Assaré, Aurora, Barbalha, Barro, Brejo Santo, Campos Sales, Caririaçu, Crato, Farias Brito, Granjeiro, Jardim, Jati, Juazeiro do Norte, Lavras da Mangabeira, Mauriti, Milagres, Missão Velha, Nova Olinda, Penaforte, Porteiras, Potengi, Salitre, Santana do Cariri, Tarrafas e Várzea Alegre), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"Candidato(s) que comprovem residência em um dos municípios da Região Litoral Oeste/Vale do Curu do Estado do Ceará (Amontada, Apuiarés, General Sampaio, Irauçuba, Itapajé, Itapipoca, Miraíma, Pentecoste, Tejuçuoca, Tururu, Umirim e Uruburetama), estabelecida pela Lei Complementar nº 154, de 20/10/2015"
V,"Candidato(s) que comprovem residência em um dos municípios da Região Litoral Leste do Estado do Ceará (Aracati, Beberibe, Fortim, Icapuí, Itaiçaba e Jaguaruana), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
V,"com deficiência oriundos da rede de ensino privada ou pública. Os candidatos oriundos da rede pública devem optar por concorrer à vaga desta ação afirmativa ou às vagas reservadas para os grupos de cotas estabelecidos na Lei nº 12.711/2012, não sendo permitida aplicação cumulativa."
V,"que concluíram o Ensino Fundamental e cursaram todo o Ensino Médio em escolas regulares presenciais, públicas ou privadas, nas microrregiões de Borborema Potiguar-RN, Seridó Ocidental-RN, Seridó Oriental-RN, Agreste Potiguar-RN, Angicos-RN, Serra de Santana-RN, Vale do Açu-RN, Catolé do Rocha-PB, Curimataú Ocidental-PB, Curimataú Oriental-PB, Patos-PB, Seridó Ocidental Paraibano-PB, Seridó Oriental Paraibano-PB ou Sousa-PB, excluídos aqueles que concluíram o Ensino Fundamental e/ou o Ensino Médio por meio de exames supletivos."
V,"concorrentes às vagas de ampla concorrência para o Curso de Medicina - Natal que tiverem cursado todo o ensino médio em escolas regulares do Estado do Rio Grande do Norte, excluídos aqueles que concluíram o ensino médio por meio de exames supletivos, Exame Nacional para Certificação de Competências de Jovens e Adultos - ENCCEJA e equivalentes."
V,"Candidato (s) deverão ter concluído o Ensino Médio ou equivalente no Estado do Pará e residir no Estado do Pará, excluindo-se aqueles que residem nos municípios de Belém, Ananindeua e Marituba."
V,Candidato (s) deficientes auditivos especificamente no curso de Letras-Libras.
V,de comunidades remanescentes de quilombos ou comunidades identitárias tradicionais
V,indígenas aldeados
V,"transexuais, travestis e transgêneros"
V,de origem cigana
V,em situação de privação de liberdade ou egressas do sistema prisional ou refugiadas
V,"que se autodeclararem Pretos ou Partos e que cursaram o Ensino Médio, integral e exclusivamente, em escola pública do Brasil, desde que não tenham concluído curso de graduação (Vaga PP)"
